time="2025-12-22T09:22:03+08:00" level=warning msg="C:\\Users\\it03.GD\\Desktop\\TEST\\docker-compose.yml: `version` is obsolete"
equipment-management-system  | 172.19.0.1 - - [22/Dec/2025:09:19:10 +0800] "GET /socket.io/?EIO=4&transport=websocket HTTP/1.1" 404 232 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/143.0.0.0 Safari/537.36 Edg/143.0.0.0"
equipment-management-system  | 172.19.0.1 - - [22/Dec/2025:09:19:16 +0800] "GET /socket.io/?EIO=4&transport=websocket HTTP/1.1" 404 232 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/143.0.0.0 Safari/537.36 Edg/143.0.0.0"
equipment-management-system  | 172.19.0.1 - - [22/Dec/2025:09:19:21 +0800] "GET /statistics HTTP/1.1" 200 43419 "http://10.168.93.93:5020/chat?conversation_id=3" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/143.0.0.0 Safari/537.36 Edg/143.0.0.0"
equipment-management-system  | 172.19.0.1 - - [22/Dec/2025:09:19:23 +0800] "GET /statistics/equipment HTTP/1.1" 200 34828 "http://10.168.93.93:5020/statistics" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/143.0.0.0 Safari/537.36 Edg/143.0.0.0"
equipment-management-system  | 172.19.0.1 - - [22/Dec/2025:09:19:26 +0800] "GET /socket.io/?EIO=4&transport=websocket HTTP/1.1" 404 232 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/143.0.0.0 Safari/537.36 Edg/143.0.0.0"
equipment-management-system  | 172.19.0.1 - - [22/Dec/2025:09:19:29 +0800] "GET /statistics HTTP/1.1" 200 43419 "http://10.168.93.93:5020/statistics/equipment" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/143.0.0.0 Safari/537.36 Edg/143.0.0.0"
equipment-management-system  | [2025-12-22 09:19:30 +0800] [7] [ERROR] Error handling request /statistics/export/equipment
equipment-management-system  | Traceback (most recent call last):
equipment-management-system  |   File "/usr/local/lib/python3.11/site-packages/gunicorn/workers/sync.py", line 134, in handle
equipment-management-system  |     self.handle_request(listener, req, client, addr)
equipment-management-system  |   File "/usr/local/lib/python3.11/site-packages/gunicorn/workers/sync.py", line 177, in handle_request
equipment-management-system  |     respiter = self.wsgi(environ, resp.start_response)
equipment-management-system  |                ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
equipment-management-system  |   File "/usr/local/lib/python3.11/site-packages/flask/app.py", line 2091, in __call__
equipment-management-system  |     return self.wsgi_app(environ, start_response)
equipment-management-system  |            ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
equipment-management-system  |   File "/usr/local/lib/python3.11/site-packages/flask/app.py", line 2076, in wsgi_app
equipment-management-system  |     response = self.handle_exception(e)
equipment-management-system  |                ^^^^^^^^^^^^^^^^^^^^^^^^
equipment-management-system  |   File "/usr/local/lib/python3.11/site-packages/flask/app.py", line 2073, in wsgi_app
equipment-management-system  |     response = self.full_dispatch_request()
equipment-management-system  |                ^^^^^^^^^^^^^^^^^^^^^^^^^^^^
equipment-management-system  |   File "/usr/local/lib/python3.11/site-packages/flask/app.py", line 1518, in full_dispatch_request
equipment-management-system  |     rv = self.handle_user_exception(e)
equipment-management-system  |          ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
equipment-management-system  |   File "/usr/local/lib/python3.11/site-packages/flask/app.py", line 1516, in full_dispatch_request
equipment-management-system  |     rv = self.dispatch_request()
equipment-management-system  | 172.19.0.1 - - [22/Dec/2025:09:19:30 +0800] "GET /statistics/export/equipment HTTP/1.1" 500 0 "-" "-"
equipment-management-system  |          ^^^^^^^^^^^^^^^^^^^^^^^
equipment-management-system  |   File "/usr/local/lib/python3.11/site-packages/flask/app.py", line 1502, in dispatch_request
equipment-management-system  |     return self.ensure_sync(self.view_functions[rule.endpoint])(**req.view_args)
equipment-management-system  |            ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
equipment-management-system  |   File "/usr/local/lib/python3.11/site-packages/flask_login/utils.py", line 272, in decorated_view
equipment-management-system  |     return func(*args, **kwargs)
equipment-management-system  |            ^^^^^^^^^^^^^^^^^^^^^
equipment-management-system  |   File "/app/app/main/statistics_routes.py", line 746, in export_statistics_xlsx
equipment-management-system  |     eq.department.name if eq.department else '',
equipment-management-system  |     ^^^^^^^^^^^^^^^^^^
equipment-management-system  | AttributeError: 'str' object has no attribute 'name'
equipment-management-system  | 127.0.0.1 - - [22/Dec/2025:09:19:37 +0800] "GET /auth/login HTTP/1.1" 200 16564 "-" "curl/8.14.1"
equipment-management-system  | 172.19.0.1 - - [22/Dec/2025:09:19:54 +0800] "GET /socket.io/?EIO=4&transport=websocket HTTP/1.1" 404 232 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/143.0.0.0 Safari/537.36 Edg/143.0.0.0"
equipment-management-system  | 172.19.0.1 - - [22/Dec/2025:09:20:00 +0800] "GET /socket.io/?EIO=4&transport=websocket HTTP/1.1" 404 232 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/143.0.0.0 Safari/537.36 Edg/143.0.0.0"
equipment-management-system  | 172.19.0.1 - - [22/Dec/2025:09:20:06 +0800] "GET /socket.io/?EIO=4&transport=websocket HTTP/1.1" 404 232 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/143.0.0.0 Safari/537.36 Edg/143.0.0.0"
equipment-management-system  | 127.0.0.1 - - [22/Dec/2025:09:20:07 +0800] "GET /auth/login HTTP/1.1" 200 16564 "-" "curl/8.14.1"
equipment-management-system  | 172.19.0.1 - - [22/Dec/2025:09:20:15 +0800] "GET /socket.io/?EIO=4&transport=websocket HTTP/1.1" 404 232 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/143.0.0.0 Safari/537.36 Edg/143.0.0.0"
equipment-management-system  | 172.19.0.1 - - [22/Dec/2025:09:20:25 +0800] "GET /socket.io/?EIO=4&transport=websocket HTTP/1.1" 404 232 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/143.0.0.0 Safari/537.36 Edg/143.0.0.0"
equipment-management-system  | 127.0.0.1 - - [22/Dec/2025:09:20:37 +0800] "GET /auth/login HTTP/1.1" 200 16564 "-" "curl/8.14.1"
equipment-management-system  | 172.19.0.1 - - [22/Dec/2025:09:20:53 +0800] "GET /auth/login HTTP/1.1" 200 16564 "-" "python-requests/2.32.5"
equipment-management-system  | 172.19.0.1 - - [22/Dec/2025:09:20:53 +0800] "GET /chat HTTP/1.1" 302 318 "-" "python-requests/2.32.5"
equipment-management-system  | 172.19.0.1 - - [22/Dec/2025:09:20:53 +0800] "GET /auth/login?next=http%3A%2F%2F10.168.93.93%3A5020%2Fchat HTTP/1.1" 200 16564 "-" "python-requests/2.32.5"
equipment-management-system  | 172.19.0.1 - - [22/Dec/2025:09:20:53 +0800] "POST /auth/login HTTP/1.1" 302 218 "http://10.168.93.93:5020/auth/login" "Mozilla/5.0 (Windows NT 10.0; Win64; x64)"
equipment-management-system  | 172.19.0.1 - - [22/Dec/2025:09:20:53 +0800] "GET /index HTTP/1.1" 200 49132 "http://10.168.93.93:5020/auth/login" "Mozilla/5.0 (Windows NT 10.0; Win64; x64)"
equipment-management-system  | 172.19.0.1 - - [22/Dec/2025:09:20:53 +0800] "GET /chat HTTP/1.1" 200 34250 "-" "python-requests/2.32.5"
equipment-management-system  | 172.19.0.1 - - [22/Dec/2025:09:20:53 +0800] "GET /api/chat/conversations HTTP/1.1" 200 1178 "http://10.168.93.93:5020/chat" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/117.0.0.0 Safari/537.36"
equipment-management-system  | 172.19.0.1 - - [22/Dec/2025:09:20:53 +0800] "GET /socket.io/?transport=websocket&EIO=4&t=1766366453.418252 HTTP/1.1" 404 232 "-" "-"
equipment-management-system  | 127.0.0.1 - - [22/Dec/2025:09:21:07 +0800] "GET /auth/login HTTP/1.1" 200 16564 "-" "curl/8.14.1"
equipment-management-system  | 127.0.0.1 - - [22/Dec/2025:09:21:37 +0800] "GET /auth/login HTTP/1.1" 200 16564 "-" "curl/8.14.1"
equipment-management-system  | 172.19.0.1 - - [22/Dec/2025:09:21:48 +0800] "GET /auth/login HTTP/1.1" 200 16564 "-" "python-requests/2.32.5"
equipment-management-system  | 172.19.0.1 - - [22/Dec/2025:09:21:48 +0800] "GET /chat HTTP/1.1" 302 318 "-" "python-requests/2.32.5"
equipment-management-system  | 172.19.0.1 - - [22/Dec/2025:09:21:48 +0800] "GET /auth/login?next=http%3A%2F%2F10.168.93.93%3A5020%2Fchat HTTP/1.1" 200 16564 "-" "python-requests/2.32.5"
equipment-management-system  | 172.19.0.1 - - [22/Dec/2025:09:21:48 +0800] "POST /auth/login HTTP/1.1" 302 218 "-" "python-requests/2.32.5"
equipment-management-system  | 172.19.0.1 - - [22/Dec/2025:09:21:48 +0800] "GET /index HTTP/1.1" 200 49132 "-" "python-requests/2.32.5"
equipment-management-system  | 172.19.0.1 - - [22/Dec/2025:09:21:48 +0800] "GET /api/chat/conversations HTTP/1.1" 200 1178 "-" "python-requests/2.32.5"
equipment-management-system  | 172.19.0.1 - - [22/Dec/2025:09:21:49 +0800] "GET /chat HTTP/1.1" 200 34250 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) HeadlessChrome/143.0.0.0 Safari/537.36 Edg/143.0.0.0"
equipment-management-system  | 172.19.0.1 - - [22/Dec/2025:09:21:49 +0800] "GET /static/vendor/bootstrap/css/bootstrap.min.css HTTP/1.1" 200 0 "http://10.168.93.93:5020/chat" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) HeadlessChrome/143.0.0.0 Safari/537.36 Edg/143.0.0.0"
equipment-management-system  | 172.19.0.1 - - [22/Dec/2025:09:21:49 +0800] "GET /static/css/site.css?v=20251201-6 HTTP/1.1" 200 0 "http://10.168.93.93:5020/chat" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) HeadlessChrome/143.0.0.0 Safari/537.36 Edg/143.0.0.0"
