equipment-management-system  | 172.19.0.1 - - [22/Dec/2025:07:59:56 +0800] "GET /index HTTP/1.1" 200 49164 "http://10.168.93.93:5020/chat/admin" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/143.0.0.0 Safari/537.36 Edg/143.0.0.0"
equipment-management-system  | [2025-12-22 07:59:56,401] INFO in socketio_handler: ✓ 用户连接: admin (ID: 7, SID: vwvceCObtVYSR21PAAAH)
equipment-management-system  | 172.19.0.1 - - [22/Dec/2025:07:59:57 +0800] "GET /chat HTTP/1.1" 200 34250 "http://10.168.93.93:5020/index" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/143.0.0.0 Safari/537.36 Edg/143.0.0.0"
equipment-management-system  | [2025-12-22 07:59:57,990] INFO in socketio_handler: ✓ 用户连接: admin (ID: 7, SID: VyoZhFr2pzoM332EAAAK)
equipment-management-system  | [2025-12-22 07:59:58,004] INFO in socketio_handler: ✓ 用户连接: admin (ID: 7, SID: RY4dmZ_-376vACCwAAAL)
equipment-management-system  | 172.19.0.1 - - [22/Dec/2025:07:59:58 +0800] "GET /api/chat/conversations HTTP/1.1" 200 1200 "http://10.168.93.93:5020/chat" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/143.0.0.0 Safari/537.36 Edg/143.0.0.0"
equipment-management-system  | [2025-12-22 07:59:58,784] INFO in socketio_handler: 用户 admin 加入会话房间: conversation_3
equipment-management-system  | 172.19.0.1 - - [22/Dec/2025:07:59:58 +0800] "GET /api/chat/conversations/3/messages HTTP/1.1" 200 11022 "http://10.168.93.93:5020/chat" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/143.0.0.0 Safari/537.36 Edg/143.0.0.0"
equipment-management-system  | [2025-12-22 08:00:00,003] INFO in scheduler: [定时任务] 保养提醒检查完成,无即将到期保养 (2025-12-22 08:00)
equipment-management-system  | 127.0.0.1 - - [22/Dec/2025:08:00:05 +0800] "GET /auth/login HTTP/1.1" 200 16564 "-" "curl/8.14.1"
