equipment-management-system  | 172.19.0.1 - - [22/Dec/2025:10:09:23 +0800] "GET /socket.io/?EIO=4&transport=websocket HTTP/1.1" 404 232 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/143.0.0.0 Safari/537.36 Edg/143.0.0.0"
equipment-management-system  | 127.0.0.1 - - [22/Dec/2025:10:09:40 +0800] "GET /auth/login HTTP/1.1" 200 16564 "-" "curl/8.14.1"
equipment-management-system  | 127.0.0.1 - - [22/Dec/2025:10:10:10 +0800] "GET /auth/login HTTP/1.1" 200 16564 "-" "curl/8.14.1"
equipment-management-system  | 127.0.0.1 - - [22/Dec/2025:10:10:40 +0800] "GET /auth/login HTTP/1.1" 200 16564 "-" "curl/8.14.1"
equipment-management-system  | 127.0.0.1 - - [22/Dec/2025:10:11:10 +0800] "GET /auth/login HTTP/1.1" 200 16564 "-" "curl/8.14.1"
equipment-management-system  | 127.0.0.1 - - [22/Dec/2025:10:11:40 +0800] "GET /auth/login HTTP/1.1" 200 16564 "-" "curl/8.14.1"
equipment-management-system  | 127.0.0.1 - - [22/Dec/2025:10:12:10 +0800] "GET /auth/login HTTP/1.1" 200 16564 "-" "curl/8.14.1"
equipment-management-system  | 127.0.0.1 - - [22/Dec/2025:10:12:40 +0800] "GET /auth/login HTTP/1.1" 200 16564 "-" "curl/8.14.1"
equipment-management-system  | 127.0.0.1 - - [22/Dec/2025:10:13:10 +0800] "GET /auth/login HTTP/1.1" 200 16564 "-" "curl/8.14.1"
equipment-management-system  | 127.0.0.1 - - [22/Dec/2025:10:13:40 +0800] "GET /auth/login HTTP/1.1" 200 16564 "-" "curl/8.14.1"
equipment-management-system  | 172.19.0.1 - - [22/Dec/2025:10:14:01 +0800] "GET /chat HTTP/1.1" 200 34250 "http://10.168.93.93:5020/index" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/143.0.0.0 Safari/537.36 Edg/143.0.0.0"
